moisture,temp,ts,SG,API_Gravity,Density
2867,30.3125,1726555896197,0.7001221001221001,70.60760376700384,700.1221001221
2857,30.3125,1726555898283,0.6976800976800976,71.31501575078755,697.6800976800977
2859,30.3125,1726555900367,0.6981684981684981,71.1731374606506,698.1684981684981
2864,30.3125,1726555902450,0.6993894993894993,70.81930865921788,699.3894993894993
2862,30.3125,1726555904531,0.6989010989010989,70.9606918238994,698.9010989010989
2859,30.3125,1726555906611,0.6981684981684981,71.1731374606506,698.1684981684981
2852,30.3125,1726555908694,0.6964590964590964,71.67058204768585,696.4590964590964
2863,30.3125,1726555910778,0.6991452991452991,70.88997555012227,699.1452991452991
2851,30.25,1726555912859,0.6962148962148962,71.74184496667837,696.2148962148962
2861,30.3125,1726555914942,0.6986568986568986,71.03145753233136,698.6568986568986
2864,30.25,1726555917025,0.6993894993894993,70.81930865921788,699.3894993894993
2848,30.25,1726555919109,0.6954822954822955,71.95593398876406,695.4822954822954
1147,30.25,1726555921190,0.2800976800976801,373.68090671316475,280.0976800976801
1302,30.25,1726555923281,0.31794871794871793,313.5403225806452,317.94871794871796
1159,30.3125,1726555925362,0.283028083028083,368.45038826574637,283.028083028083
1139,30.3125,1726555927448,0.27814407814407816,377.2291483757682,278.14407814407815
1143,30.25,1726555929531,0.27912087912087913,375.4488188976378,279.1208791208791
1131,30.3125,1726555931612,0.2761904761904762,380.8275862068965,276.1904761904762
1136,30.25,1726555933694,0.2774114774114774,378.5726232394366,277.41147741147745
1139,30.3125,1726555935777,0.27814407814407816,377.2291483757682,278.14407814407815
1136,30.3125,1726555937858,0.2774114774114774,378.5726232394366,277.41147741147745
1143,30.25,1726555939937,0.27912087912087913,375.4488188976378,279.1208791208791
1147,30.3125,1726555942022,0.2800976800976801,373.68090671316475,280.0976800976801
1145,30.25,1726555944103,0.2796092796092796,374.5633187772926,279.6092796092796
1159,30.25,1726555946183,0.283028083028083,368.45038826574637,283.028083028083
1133,30.25,1726555948262,0.2766788766788767,379.92321270962043,276.6788766788767
1136,30.3125,1726555950341,0.2774114774114774,378.5726232394366,277.41147741147745
1138,30.3125,1726555952425,0.2778998778998779,377.6761862917399,277.89987789987794
1161,30.3125,1726555954510,0.2835164835164835,367.58914728682174,283.5164835164835
2846,30.25,1726555956590,0.694993894993895,72.09891075193255,694.993894993895
2857,30.3125,1726555958670,0.6976800976800976,71.31501575078755,697.6800976800977
2861,30.3125,1726555960752,0.6986568986568986,71.03145753233136,698.6568986568986
2865,30.3125,1726555962835,0.6996336996336996,70.74869109947645,699.6336996336996
2874,30.3125,1726555964919,0.7018315018315018,70.11534446764094,701.8315018315018
2862,30.3125,1726555966998,0.6989010989010989,70.9606918238994,698.9010989010989
2859,30.25,1726555969082,0.6981684981684981,71.1731374606506,698.1684981684981
2864,30.25,1726555971165,0.6993894993894993,70.81930865921788,699.3894993894993
2869,30.3125,1726555973248,0.7006105006105006,70.46671314046708,700.6105006105006
2867,30.3125,1726555975337,0.7001221001221001,70.60760376700384,700.1221001221
2859,30.25,1726555977802,0.6981684981684981,71.1731374606506,698.1684981684981
2861,30.25,1726555979504,0.6986568986568986,71.03145753233136,698.6568986568986
2861,30.3125,1726555981586,0.6986568986568986,71.03145753233136,698.6568986568986
2864,30.3125,1726555983670,0.6993894993894993,70.81930865921788,699.3894993894993
2858,30.25,1726555985751,0.6979242979242979,71.24405178446466,697.9242979242979
