moisture,temp,ts
2913,32.75,1726228808237,0.7113553113553114,67.4160659114315
2899,32.8125,1726228810335,0.707936507936508,68.37668161434976
2903,32.75,1726228812505,0.708913308913309,68.10127454357561
2908,32.75,1726228814587,0.7101343101343102,67.75808115543327
2908,32.8125,1726228816682,0.7101343101343102,67.75808115543327
2902,32.8125,1726228818759,0.7086691086691087,68.17005513439005
2901,32.75,1726228821103,0.7084249084249085,68.23888314374352
2911,32.8125,1726228823184,0.7108669108669109,67.55273102026794
2910,32.75,1726228825404,0.7106227106227107,67.62113402061854
2897,32.75,1726228827487,0.7074481074481075,68.51467034863651
2901,32.8125,1726228829585,0.7084249084249085,68.23888314374352
2897,32.8125,1726228831697,0.7074481074481075,68.51467034863651
2914,32.8125,1726228833790,0.7115995115995116,67.34780370624571
2897,32.75,1726229152411,0.71,68.51
2910,32.6875,1726229154529,0.71,67.62
2907,32.75,1726229156626,0.71,67.83
2913,32.8125,1726229158706,0.71,67.42
2910,32.75,1726229161107,0.71,67.62
2901,32.8125,1726229163283,0.71,68.24
2901,32.75,1726229165403,0.71,68.24
2892,32.8125,1726229167493,0.71,68.86
2907,32.75,1726229169604,0.71,67.83
2886,32.75,1726229171702,0.70,69.28
2889,32.75,1726229173800,0.71,69.07
2880,32.8125,1726229175880,0.70,69.70
2896,32.75,1726229178079,0.71,68.58
2895,32.75,1726229180160,0.71,68.65
2895,32.6875,1726229182399,0.71,68.65
2896,32.6875,1726229184858,0.71,68.58
1331,32.75,1726229186935,0.33,303.84
1328,32.75,1726229189017,0.32,304.83
2897,32.75,1726229191215,0.71,68.51
2896,32.6875,1726229193437,0.71,68.58
2890,32.75,1726229195517,0.71,69.00
1161,32.75,1726229197594,0.28,367.59
2894,32.8125,1726229199684,0.71,68.72
2899,32.8125,1726229201923,0.71,68.38
2864,32.75,1726229204017,0.70,70.82
2894,32.6875,1726229206349,0.71,68.72
2885,32.75,1726229208429,0.70,69.35
2896,32.8125,1726229210512,0.71,68.58
2912,32.6875,1726229212888,0.71,67.48
2881,32.75,1726229215160,0.70,69.63
2894,32.75,1726229217396,0.71,68.72
2884,32.75,1726229219479,0.70,69.42
2896,32.8125,1726229221557,0.71,68.58
2890,32.8125,1726229223667,0.71,69.00
2890,32.75,1726229225791,0.71,69.00
2896,32.75,1726229228048,0.71,68.58
2891,32.75,1726229230131,0.71,68.93
2889,32.8125,1726229232226,0.71,69.07
2895,32.75,1726229234395,0.71,68.65
2886,32.75,1726229236475,0.70,69.28
2896,32.75,1726229239015,0.71,68.58
2887,32.8125,1726229240593,0.71,69.21
2888,32.75,1726229242671,0.71,69.14
2895,32.75,1726229244761,0.71,68.65
2885,32.75,1726229246839,0.70,69.35
2892,32.6875,1726229248941,0.71,68.86
2901,32.75,1726229251033,0.71,68.24
2884,32.8125,1726229253118,0.70,69.42
